station,lon,lat,elevation,start_year,end_year
Abashiri,144.28333,44.01667,38,1961,2008
Abbeville,1.83333,50.13333,74,2011,2020
Aberdeen,357.91667,57.16667,35,1967,2017
Aberporth,355.43333,52.13333,134,1957,2017
Abha,42.65,18.23333,2090,1982,1990
AbuDhabiArpt,54.41667,24.46667,16,1982,2007
AbuNaama,34.13333,12.73333,445,1957,1991
Aburatsu,131.4,31.58333,3,1961,1969
Acarigua,290.76667,9.55,226,1996,1998
Accra,359.83333,5.6,68,1954,2003
AddisAbeba,38.75,9.03333,2408,1968,1992
AdelaideAirp.,138.51667,-34.93333,6,1983,2020
AdelaideAirportnew,138.51667,-34.96667,49,2003,2006
AdelaideCityWst.Terrace,138.58333,-34.93333,29,2005,2005
AdenKhormaskar,45.03333,12.83333,3,1964,1967
Agadez,7.98333,16.96667,505,1978,1980
Agadir,350.43333,30.38333,20,1958,1958
Agen,0.6,44.18333,61,1968,2021
Ahmadabad,72.63333,23.06667,55,1964,2021
Ahuachapan,270.13333,13.95,725,1971,1979
Aix-En-Provence,5.41667,43.51667,173,2013,2016
Ajaccio,8.8,41.91667,4,1970,2021
Akita,140.1,39.71667,9,1961,2021
Aklavik,225.0,68.23333,9,1950,1966
Aksu,80.23333,41.16667,1103,1993,2000
Akune,130.2,32.03333,40,1961,1969
Akuse,0.11667,6.1,18,1980,1993
Al-AinInt.Arpt,55.6,24.26667,262,1994,2007
Albacete,358.13333,39.0,674,1996,2021
AlbanyAirp.,117.8,-34.95,71,1968,1988
Albi,2.1,43.9,172,2011,2021
Albuquerque,253.38333,35.05,1631,1950,2006
Aldergrove-Airpt.Belfast,353.78333,54.65,81,1968,2007
Aleksandrovskoe,77.86667,60.43333,47,1964,1994
Alencon,0.1,48.43333,143,2010,2021
Alert,297.66667,82.5,62,1965,2000
AlertBSRN,297.58,82.49,127,2004,2014
AlexanderBay,16.53333,-28.56667,21,1953,1976
Alghero,8.28333,40.63333,40,1964,1989
AlHufuf,49.56667,25.5,616,1976,1990
Aliartos,23.1,38.38333,110,1977,1993
AlicanteAirport,359.45,38.28333,31,2003,2021
AliceSprings,133.9,-23.8,545,1953,2020
AliceSpringsBSRN,133.9,-23.8,545,1995,2020
Almeria,357.61667,36.85,20,2003,2021
AlTaif,40.55,21.48333,1478,1975,1990
Altay,88.08333,47.73333,735,1960,2000
Altdorf,8.63167,46.87,449,1981,2007
AltoPalena,288.21667,-43.61667,266,1969,1973
Amberieu,5.31667,45.96667,250,2017,2021
Amendola,15.71667,41.53333,56,1964,2010
Ames,266.36667,42.03333,283,1953,1969
Amherst,287.48333,42.38333,100,1950,1951
Amundsen-ScottBSRN,0.0,-90.0,2835,1992,2003
Ancona,13.51667,43.61667,105,1964,1978
Andravida,21.28333,37.91667,12,1978,1993
AngradoHeroismo,332.76667,38.65,90,1964,2020
Ankara,32.88333,39.95,894,1983,1984
Anmyeon-Do,126.31667,36.53333,47,2017,2020
Annette,228.43333,55.03333,34,1954,1998
Antalya,30.73333,36.86667,50,1983,1985
Antananarivo,47.53333,-18.9,1300,1954,1993
Anyang,114.36667,36.11667,0,1961,1990
Aomori,140.76667,40.81667,3,1961,2008
Apalachicola,275.01667,29.73333,14,1950,1975
AralskoeMore,61.66667,46.78333,62,1964,1990
Arenosillo,353.26667,37.1,45,2009,2021
ArequipaCharacato,287.51667,-16.46667,2451,1964,1986
"Argentine,Isls",295.73333,-65.25,10,1964,1965
ArgonneNat.Lab.Lemont,272.01667,41.7,229,1955,1969
ArgosPyrgela,22.78333,37.6,13,1982,1993
Arica,289.66667,-18.33333,58,1971,2021
Arkhangelsk,40.5,64.58333,13,1964,2017
Arkona,13.43333,54.68333,42,1991,1998
Armerillo,288.9,-35.7,450,1969,1973
Aroma,36.15,15.83333,430,1974,1991
ArrecifeLanzarote,346.4,28.95,20,1996,2021
ArRiyadh,46.71667,24.71667,636,1975,1990
Arta,21.0,39.16667,11,1979,1993
Arua,30.91667,3.01667,1204,1971,1976
Arusha,36.61667,-3.33333,1387,1973,1976
Asahikawa,142.36667,43.75,120,1961,2008
Asosan,131.06667,32.88333,1142,1961,1969
Aspendale,145.1,-38.03333,6,1964,1981
Astoria,236.11667,46.15,7,1953,2002
AsukaCamp,24.13333,-71.53333,965,1987,1991
Aswan,32.78333,23.96667,192,1980,2017
Asyut,31.16667,27.2,52,1980,2010
Athens,23.71667,37.96667,107,1955,1985
Atlanta,275.56667,33.65,315,1951,1996
Aubenas,4.36667,44.53333,280,2013,2016
Auch,0.6,43.68333,121,2010,2021
AucklandAirport,174.8,-37.01667,6,1969,1990
Aughton,357.08333,53.55,55,1984,1996
Aurillac,2.41667,44.88333,639,2009,2021
Auxerre,3.55,47.8,207,1976,2021
Averroes,352.58333,33.3,240,1958,1958
Aviemore,356.16667,57.2,220,1984,2017
Axim,357.76667,4.86667,38,1995,2000
Azapa,289.81667,-18.53333,578,1971,1971
Babanusa,27.81667,11.33333,453,1981,1989
Badajoz,352.98333,38.88333,185,2002,2021
BadLake,251.6,51.31667,637,1971,1998
BadLippspringe,8.83333,51.78333,162,1982,1998
BadNauheim,8.75,50.36667,145,1971,1977
Bafata,345.33333,12.16667,43,1968,1974
Bahtim,31.25,30.15,17,1968,2010
BakerLake,264.0,64.3,49,1970,2000
Bamako,352.05,12.53333,381,1980,1980
Bambesa,25.71667,3.45,621,1958,1960
Bambey,343.53333,14.7,20,1980,1988
Bangkok,100.56667,13.73333,16,1966,2015
Bangui,18.51667,4.4,367,1957,1975
BanjaLuka,17.21667,44.78333,153,1964,1991
BanjulYundum,343.2,13.35,26,1980,1980
BanskaBystrica,19.11667,48.73333,427,2015,2021
Bar,19.1,42.1,6,1964,1991
Barcelona,2.2,41.38333,25,1996,2021
Barcelona64-68,2.15,41.4,95,1964,1968
BarcelonaAirport,2.05,41.3,10,2003,2020
BarcelonaVenezuela,295.31667,10.11667,7,1964,1998
Barentsburg,21.25,78.06667,70,1985,1990
Bari,16.86667,41.11667,28,1964,1971
Barinas,289.78333,8.61667,203,1996,1998
Barquisimeto,290.68333,10.06667,613,1964,1998
Barrow,203.21667,71.3,19,1951,1974
BarrowBSRN,203.6,71.31667,8,1992,2020
Basel,7.58333,47.55,316,1988,2021
Basel-Binningen,7.58333,47.58333,317,1981,2007
Basse,345.78333,13.31667,14,1980,1980
Bastia,9.48333,42.55,8,1991,2021
Beaucouze,359.4,47.46667,50,2009,2021
Beauvais-Tille,2.11667,49.43333,89,2010,2021
Beaverlodge,240.63333,55.18333,762,1960,1998
Bechar,357.76667,31.61667,772,1971,1975
BeekLimburg,5.76667,50.91667,114,1978,1991
Beihai,109.11667,21.48333,0,1993,2000
Beijing,116.28333,39.93333,55,1957,2016
Beira,34.85,-19.83333,17,1957,2008
Beirut,35.48333,33.81667,18,1964,1981
Beja,352.13333,38.01667,247,2006,2007
Bekescsaba,21.08333,46.68333,87,1964,1965
BelfastAldergroveArpt,353.78333,54.66667,81,1970,2017
Bellaterra,356.41667,37.16667,45,1972,1974
Belmullet,350.0,54.23333,10,1982,2021
Belsk,20.78333,51.83333,180,1970,2021
BeninCity,5.61667,6.55,156,1964,1992
BeogradZeleno-Brdo,20.53333,44.78333,243,1964,1991
Beregadougou,355.21667,10.71667,0,1979,1980
Bergen,5.31667,60.4,45,1965,2014
Bergerac,0.5,44.81667,49,2011,2021
BermudaBSRN,295.66667,32.26667,8,1992,2020
BernZollikofen,7.46389,46.99056,553,1981,2007
Besancon,5.98333,47.25,307,1991,2021
BetDagan,34.81667,32.0,30,1964,1990
Bethel,198.2,60.78333,49,1951,1998
Bethune-CookmanCollege,278.96667,29.3,20,1985,2000
Bhaunagar,72.2,21.75,5,1967,1994
Biarritz-Anglet,358.46667,43.46667,71,2011,2021
BigTroutLake,270.13333,53.83333,219,1972,1992
Bilbao-Sondica,357.06667,43.3,40,1995,2021
BillingsBSRN,262.66667,36.6,318,1993,2019
Bilma,12.91667,18.68333,357,1980,1980
Birmensdorf,8.45,47.36667,560,1969,1995
Birr,352.11667,53.08333,72,1971,2011
Biscarrosse,358.75,44.43333,33,1979,2021
Bismarck,259.25,46.76667,506,1950,2006
Bissau,344.4,11.85,20,1958,1974
Bitola,21.36667,41.05,586,1969,1990
Bizerte,9.8,37.25,3,2008,2008
Bloemfontein,26.3,-29.1,1351,1953,1976
Blois,1.21667,47.66667,121,2013,2021
BluefieldStateCollege,278.76667,37.28333,803,1985,2005
BlueHillObs.,288.88333,42.21667,204,1950,1976
BoboDioulasso,355.7,11.16667,460,1971,1990
Bobole,32.66667,-25.61667,30,1972,1974
Bocholt,6.53333,51.83333,24,1973,1998
Bochum,7.26667,51.45,187,1992,1998
Bodo,14.36667,67.26667,10,1953,1965
Boende,20.85,-0.21667,375,1956,1989
BogotaEl-Dorado,285.86667,4.7,2547,1988,1997
Boise,243.78333,43.56667,874,1950,1994
Bolama,344.51667,11.58333,20,1968,1974
Bole,357.58333,9.01667,299,1964,1994
Bologna,11.3,44.53333,49,1964,1989
Bondville,271.63333,40.06667,213,1999,2021
BondvilleBSRN,271.38333,40.1,213,1995,2020
Bonn,7.15,50.7,65,1976,1998
Bordeaux,359.3,44.83333,49,1978,2021
Borlaenge,15.5,60.43333,153,1988,2021
Bossangoa,17.43333,6.48333,463,1975,1975
Boston,288.95,42.36667,48,1950,1968
Bougouni,352.5,11.41667,351,1980,1980
Boulder,254.75,40.01667,1634,1977,2021
BoulderBSRN,254.01667,40.05,1577,1992,2016
BoulderNOAAtower,254.73333,40.03333,1600,1986,1988
BoulderSURFRAD,254.6,40.21667,1689,1995,2020
Boulmer,358.4,55.41667,22,2006,2017
Bourges,2.36667,47.06667,161,1987,2021
BourgSt-Maurice,6.75,45.6,865,2018,2021
Bozen,11.33333,46.46667,241,1964,1988
Bracknell,359.21667,51.38333,74,1965,2002
Braganca,353.26667,41.8,691,1964,2021
BrasiliaBSRN,312.28694,-15.60111,1023,2006,2019
Bratislava,17.1,48.16667,289,1964,2021
Braunlage,10.61667,51.71667,615,1957,1998
Braunschweig,10.45,52.3,81,1958,2021
Brazzaville,15.23333,-4.25,320,1955,1962
Bregenz,9.75,47.5,424,1993,2021
Bremen,8.8,53.05,24,1976,1998
Brest,355.58333,48.45,99,1987,2021
Brindisi,17.95,40.65,15,1964,2014
Brisbane,153.08333,-27.43333,5,1983,1995
Brive,1.46667,45.13333,112,2010,2021
BroomeAirport,122.23333,-17.95,17,1987,2020
Brownsville,262.56667,25.9,15,1950,1994
BruneiAirport,114.93333,4.93333,22,1987,1994
Brwinow,20.71667,52.13333,110,1964,1978
Bucharest,26.13333,44.5,91,1964,2021
Budapest,19.18333,47.43333,138,1964,2006
BuenosAires,301.51667,-34.58333,25,1964,2021
Bukavu,28.85,-2.51667,1635,1958,1981
BukhtaTykhaya,52.0,80.5,0,1934,1957
BukitKototabang,100.32,-0.2,864,1996,2020
Bukoba,31.81667,-1.33333,1137,1964,1976
Bulawayo-Goetz-Obs.,28.61667,-20.15,1344,1954,2005
Bunia-Ruampara,30.16667,1.53333,1225,1957,1975
Buraimi,55.78333,24.23333,299,1988,1991
Burgos,356.31667,42.35,870,1978,1982
Burlington,286.85,44.46667,104,1963,1994
Buta,24.78333,2.78333,450,1979,1989
CabauwBSRN,4.92667,51.97111,0,2005,2022
CaboCarvoeiro,350.6,39.35,32,2006,2006
CaboRaper,284.41667,-46.83333,46,1969,1969
Caceres,353.66667,39.46667,405,1983,2021
Cadiz,353.71667,36.53333,16,1993,2021
Caen,359.53333,49.18333,78,1974,2021
CagliariElmas,9.05,39.25,18,1964,2013
Cairns-Airpt.,145.75,-16.88333,3,1997,2004
Cairo,31.28333,30.08333,36,1969,2016
Cajamarca,281.5,-7.16667,2536,1983,1983
Calabozo,292.58333,8.93333,100,1996,1998
Calais-Marck,1.95,50.95,2,2013,2021
Calama,291.08333,-22.46667,2270,1971,2016
CalcuttaAlipore,88.33333,22.53333,4,1957,2002
Caldera,289.15,-27.08333,14,1971,2021
Camborne,354.68333,50.21667,88,1964,2017
CamborneBSRN,354.68333,50.21667,88,2001,2017
Cambridge,0.1,52.21667,23,1957,1971
CambridgeBay,254.88333,69.1,27,1971,1998
Campobasso,14.65,41.56667,793,1997,2015
Canberra,149.18333,-35.3,575,1983,1994
Canton,188.28333,-2.76667,4,1951,1967
CapeGrim,144.68833,-40.68222,94,1991,2020
Capellino,8.95,44.38333,700,1964,1973
CapeShmidte,180.58333,68.9,0,1936,1963
CapeTown,18.6,-33.96667,44,1952,1976
CapeZhelaniya,68.0,77.0,0,1937,1963
CapoBellavista,9.71667,39.93333,138,1989,2011
CapoCaccia,8.16667,40.51667,204,1989,2013
Captieux,359.71667,44.18333,38,1980,1986
CaracasLaCarlotta,293.11667,10.5,835,1964,1998
CaracasMaiquetia,293.01667,10.6,43,1964,2007
Carcassonne,2.31667,43.21667,130,1980,2021
Cardington,359.58333,52.1,29,1972,1978
Caribou,291.98333,46.86667,195,1950,1994
CarnarvonAirp.,113.66667,-24.88333,4,1987,1995
Carpentras,5.05,44.08333,99,1968,2021
CarpentrasBSRN,5.05,44.08333,99,1991,2018
Carrizal,293.08333,9.41667,160,1996,1998
Casablanca,352.33333,33.56667,55,1958,2017
CasaBlanca,277.65,23.16667,50,1962,1995
Casey,110.53333,-66.28333,40,1973,1977
CasteloBranco,352.51667,39.83333,390,1985,2021
Castres,2.3,43.55,232,1993,1993
Catalina,290.28333,-25.21667,2180,1971,1971
CataniaSigonella,14.91667,37.4,24,2011,2015
Cauquenes,287.66667,-35.96667,142,1997,2001
Cawood,358.86667,53.83333,6,1959,1975
Cayenne-Rocheambeau,307.63333,4.83333,5,1974,2021
CenerBSRN,358.39889,42.81611,471,2009,2022
Cervia,12.3,44.21667,6,1989,2015
Chaiten,287.28333,-42.91667,7,1997,2001
Chambery-Aix,5.86667,45.63333,235,2009,2021
Chamdo,97.16667,31.15,3306,1961,2000
Chanaral,289.38333,-26.33333,9,1971,1973
Changchun,125.21667,43.9,237,1959,2000
Changning,112.4,26.41667,117,1992,2000
Changsha,112.91667,28.21667,68,1987,2000
Changsha1961-1987,113.1,28.21667,0,1961,1987
Chaoyang,120.45,41.55,169,1963,2000
Charleroi,4.45,50.41667,150,1973,1975
Charleston,279.96667,32.9,21,1950,1976
Charleville-Mezieres,4.63333,49.76667,149,2009,2021
Charlottetown,296.86667,46.28333,48,1971,1997
Chartres,1.5,48.45,155,2009,2021
Chateaudun,1.36667,48.05,126,2010,2021
ChateaurouxDeols,1.73333,46.86667,158,2009,2021
ChatillonSeine,4.56667,47.83333,262,2013,2021
Chemnitz,12.86667,50.8,418,1991,1998
Chengdu,104.01667,30.66667,506,1961,2003
CherniVrah,23.25,42.58333,2286,1964,1995
ChesapeakeBSRN,284.28694,36.905,37,2000,2016
ChesapeakeLighthouseBSRN,284.28333,36.9,12,2000,2005
Chetyrekh-StolbovoiIs.,162.4,70.63333,6,1951,1994
Chiangmai,98.98333,18.78333,313,1966,1973
Chichijima,142.18333,27.08333,4,1969,2021
Chicualacuala,31.68333,-22.08333,452,1966,1976
Chihuahua,253.91667,28.63333,1430,1967,1976
Chimoio,33.46667,-19.11667,731,1963,2008
"ChinaLake,Inyokern",242.31667,35.68333,681,1950,1969
Chirpan,25.33333,42.2,175,1983,1999
Chita,113.33333,52.01667,671,1964,2013
Chittagong,91.81667,22.35,35,1966,1971
Chokwe,33.0,-24.53333,33,1964,1998
Cholet,359.13333,47.06667,134,2013,2016
Chongqing,106.46667,29.58333,260,1988,2000
Chongqing1961-1987,106.43333,29.85,0,1961,1987
Choshi,140.85,35.73333,20,1972,2002
ChristchurchAirp.,172.53333,-43.48333,34,1965,1991
ChristmasIs.,105.68333,-10.45,262,1996,1997
Churanov,13.61667,49.06667,1122,1986,2021
ChurchFenton,358.8,53.83333,9,1964,1967
Churchill,265.93333,58.75,35,1960,1998
Churchill12landsitemultiplereflectionstudy,301.21667,58.75,14,1982,1985
Churchill13seasitemultiplereflectionstudy,266.18333,58.78333,0,1982,1985
"Cimone,M.",10.7,44.2,2173,1964,2015
CiudadBolivar,296.45,8.15,43,1964,1998
Ciudad-Real,356.08333,38.98333,628,1995,2021
CiudadUniv.,260.81667,19.33333,2268,1967,2021
Cixi,121.16667,30.26667,0,1961,1990
Clermont-Ferrand,3.16667,45.78333,332,1978,2021
Cleveland,278.15,41.4,245,1950,1975
Clones,352.76667,54.18333,86,1982,2017
Cluj-Napoka,23.56667,46.78333,410,1964,2021
Clyde,291.48333,70.48333,26,1988,1997
Cobar,145.81667,-31.48333,221,2012,2013
Coburg,10.95,50.26667,357,1981,1998
CocosIsland,96.83333,-12.2,6,2004,2021
CocosIslandBSRN,96.835,-12.19306,2,2004,2020
Cognac,359.68417,45.665,31,2011,2021
Coimbra,351.58333,40.2,141,1964,2011
CoimbraArpt,351.53333,40.15,170,2005,2021
Collipulli,287.56667,-37.95,250,1971,1973
Colmar,7.4,47.91667,211,1991,2021
ColombierLejeune,4.66667,45.01667,566,1994,1994
Colombo,79.86667,6.9,7,1964,2003
Colorado,288.73333,-35.65,2000,1971,1972
Columbia,267.78333,38.81667,277,1950,2002
Columbus,277.11667,40.0,254,1951,1956
Concepcion,286.93333,-36.76667,13,1971,2009
ConcordiaStationBSRN,123.36833,-75.1,3233,2006,2021
Constanta,28.63333,44.21667,13,1964,2006
ConventoViejo,288.9,-34.75,312,1971,1971
Copiapo,289.6,-27.28333,290,1971,2020
CoralHarbour,276.63333,64.2,59,1970,1998
CordobaAirport,355.15,37.83333,91,2005,2021
Coro,290.31667,11.41667,16,1964,1998
Corvallis,236.78333,44.55,72,1957,1964
Corvatsch,9.81667,46.41667,3315,1981,2021
Corvo,328.88333,39.66667,28,1964,2015
Cosmos,284.41667,-12.15,4600,1983,1983
CoyaSur,290.35,-22.43333,1490,1966,1969
Coyhaique,287.88333,-45.58333,310,1989,2020
CozzoSpadaro,15.13333,36.68333,46,1989,2015
Craiova,23.86667,44.23333,192,1971,2021
Crawley,359.78333,51.08333,144,1981,1992
Creil,2.51667,49.25,88,2009,2021
Crotone,17.06667,39.0,158,1964,1989
CrownPointAirport,299.16667,11.15,3,1988,1997
"CrownPointarpt,Tobago",299.16667,11.15,15,1988,1997
Cumana,295.81667,10.45,2,1984,1998
Curico,288.76667,-34.96667,228,1997,2007
Cusco,288.01667,-13.55,3248,1983,1988
Dacca,90.38333,23.76667,8,1967,1971
DakarYoff,342.5,14.73333,27,1964,1991
Dalanzadgad,104.41667,43.58333,1469,1964,2021
Dalian,121.63333,38.9,92,1963,2000
DarelBeida,3.25,36.71667,25,1970,1975
DaresSalaam,39.2,-6.88333,55,1964,1976
Dartmouth,296.53333,44.6,31,1960,1962
DarwinAirport,130.88333,-12.41667,31,1994,2020
DarwinAirportold,130.86667,-12.4,31,1953,2001
DarwinBSRN,130.89111,-12.425,30,2002,2014
DarwinMetOfficeBSRN,130.8925,-12.42389,32,2008,2020
Datong,113.33333,40.1,1067,1961,2000
"Davis,Sacramento",238.25,38.53333,15,1950,1969
Davos,9.81667,46.8,1592,1988,2021
Davos-Dorf,9.85,46.81667,1590,1978,2007
Davos-Platz,9.81667,46.8,1580,1935,1977
Dax,358.93333,43.68333,31,2011,2021
DeAarBSRN,24.0,-30.66667,0,2000,2020
DeadSea,35.25,31.68333,-392,1960,1963
DeBelas,13.16667,-8.91667,53,1978,1978
DeBilt,5.18333,52.1,40,1964,2015
Debrecen,21.63333,47.5,123,1964,1986
Decimomannu,8.96667,39.35,29,2011,2013
DeKooy,4.78333,52.91667,0,1978,2015
Denpasar,115.21667,-8.66667,6,1970,1973
DesertRockBSRN,243.98194,36.62611,1007,1998,2020
DesertRockSURFRAD,243.98333,36.61667,1007,1998,2008
DicksonIs.,80.4,73.5,47,1938,1995
Diego-Suarez,49.3,-12.35,105,1988,1993
Dijon,5.08333,47.26667,222,1976,2021
Dili,125.58333,-8.58333,4,1964,1974
Dinard,357.93333,48.58333,65,2011,2021
Diyarbakir,40.2,37.91667,667,1983,1983
Djakarta,106.83333,-6.18333,25,1970,1973
Djibouti,43.15,11.6,3,1973,1979
Dobbiaco,12.21667,46.73333,1222,1989,2010
DodgeCity,260.03333,37.76667,791,1951,2002
Dodoma,35.76667,-6.16667,1119,1965,1976
Dongola,30.48333,19.16667,225,1973,1992
Dongsheng,109.98333,39.83333,1460,1992,2000
Dori,359.95,14.03333,276,1971,1990
Douala,9.71667,4.01667,28,1960,1963
DoumaDamascus,36.38333,33.56667,679,1964,1967
Dresden-Klotzsche,13.75,51.13333,226,1999,2021
DresdenWahnsdorf,13.68333,51.11667,271,1964,1996
DubaiInt.Arpt,55.33333,25.25,8,1985,2007
DublinAirport,353.75,53.43333,85,1976,2021
"DublinCitydatasource:Murphy,T.",353.66667,52.33333,20,1975,1987
DumDumCalcutta,88.45,22.65,4,1964,2021
Dumontd'Urville,140.01667,-66.66667,43,1973,1987
DundeeMylnefield,356.93333,56.45,30,1968,1991
Dundo,20.81667,-7.4,775,1957,1987
Dunhuang,94.68333,40.15,1139,1957,2000
Dunstaffnage,354.56667,56.46667,3,1970,2017
Durban,30.95,-29.96667,8,1952,1976
EasternNorthAtlanticBSRN,331.9708,39.0911,15,2013,2016
Easthampstead,359.21667,51.38333,73,1965,1975
EastHarling,0.91667,52.45,21,1969,1974
EastLansing,275.53333,42.75,268,1950,1969
EastMalling,0.45,51.28333,37,1964,1975
EastWareham,289.33333,41.76667,15,1950,1956
Edinburgh,356.93333,56.45,30,1982,2017
